transaction_id,account_id,amount,timestamp,counterparty,country,type
924c4f85-aaa,e59e6390,16991.23,2026-05-15 20:41:25.484898,Nelson Inc,RU,deposit
ae215c9b-e02,33995673,1989.63,2026-05-25 13:17:25.484898,"Green, Burke and Robinson",US,deposit
12cb8883-683,da32954c,3858.67,2026-05-15 17:32:25.484898,Lane-Howell,RU,deposit
28674fb1-947,ffab9564,16723.22,2026-04-28 20:49:25.484898,Houston and Sons,RU,transfer
8547059f-6fd,9cdbef8c,23150.59,2026-05-25 19:14:25.484898,Duran-Lindsey,NG,transfer
20409aea-25e,b5d2a8e7,22650.74,2026-05-25 12:50:25.484898,"Murray, Jackson and Fleming",RU,transfer
0aacc97f-647,86ad7ce1,18138.87,2026-05-13 21:40:25.484898,Tyler and Sons,CN,deposit
9e027458-388,f783a8a0,7383.61,2026-05-25 09:46:25.484898,"Hampton, Evans and Powell",RU,withdrawal
530c95f6-96f,0e72fdbc,3414.04,2026-05-04 04:49:25.484898,Hall-Arnold,NG,withdrawal
3bbf90e0-06c,64bd9d4a,20238.01,2026-05-02 20:39:25.484898,Goodman PLC,GB,deposit
9331c410-846,f1f2f8b8,24671.92,2026-05-12 14:11:25.484898,Brennan-Arroyo,BR,deposit
95633112-86e,73cd751a,17548.02,2026-05-01 14:46:25.484898,Keller Inc,RU,transfer
5764656b-d91,3bf67d88,8661.5,2026-05-18 10:09:25.484898,Wang PLC,RU,transfer
7bbe7415-268,ff7f7a7f,12560.1,2026-04-29 00:15:25.484898,Graves-Peterson,BR,withdrawal
371e74b1-746,23904d3e,18393.93,2026-05-24 23:10:25.484898,"Harris, Lee and Lamb",US,deposit
9eb6b58e-0eb,470baf53,8790.73,2026-05-17 05:40:25.484898,"Johnson, Mckenzie and Mitchell",RU,deposit
d93bbbb7-35c,a0324217,19409.68,2026-05-21 15:01:25.484898,Medina and Sons,NG,withdrawal
7f865a6a-1e3,84b34dd9,4540.71,2026-05-23 12:35:25.484898,Cooper Ltd,US,transfer
9d511672-5dc,8b80fbf2,10855.18,2026-05-05 18:33:25.484898,Newman Group,BR,withdrawal
69e8f5cb-c8e,b59da123,22011.14,2026-05-03 11:07:25.484898,Young-Williams,RU,deposit
cffebcef-318,72fd7d7c,22980.19,2026-05-25 05:41:25.484898,Hill-Brooks,US,deposit
f9d7dcf4-8d5,726a9a02,1910.33,2026-05-04 01:36:25.484898,Chavez and Sons,RU,transfer
a1847de1-26f,98e6fd75,10845.82,2026-05-02 22:41:25.484898,Weaver LLC,US,withdrawal
5af1ec09-bee,78fe24cb,7826.76,2026-05-16 05:53:25.484898,Shepherd PLC,BR,withdrawal
0dc6dff1-d17,e6a157af,6289.31,2026-05-04 07:55:25.484898,"Richards, Waters and Yates",CN,withdrawal
5aa5c6c2-1c8,9adb99b1,3203.24,2026-05-05 06:34:25.484898,Glover-Gibson,US,transfer
3c7b7441-e8a,13d979a5,2199.35,2026-05-03 04:24:25.484898,Brown Group,US,withdrawal
e8f88c74-404,a19951a6,5637.33,2026-04-28 11:31:25.484898,Murphy-Duran,BR,transfer
b9e8c19f-698,44b9d8f8,21895.66,2026-05-04 14:27:25.484898,"Erickson, Rhodes and Greer",GB,withdrawal
12182101-228,4dcf309c,10984.91,2026-05-01 10:13:25.484898,Watson PLC,RU,withdrawal
f2b7f0b9-33a,a4ae6ee6,19355.27,2026-05-16 09:58:25.484898,May-Chambers,BR,transfer
185b5e59-b35,820e26f2,4463.88,2026-05-17 21:59:25.484898,Brown-Pearson,RU,withdrawal
232d609a-47e,f9c4ecdc,23844.63,2026-05-15 04:01:25.484898,Wright Group,RU,deposit
7f3f7d25-1f1,e4f1a332,3533.65,2026-05-19 07:30:25.484898,Gibson Ltd,GB,withdrawal
2a517b47-59b,ca886935,10542.41,2026-05-25 10:12:25.484898,Smith Group,GB,transfer
47fcec4b-1bb,36db2a89,1565.58,2026-05-19 10:43:25.484898,Brown-Wolf,NG,deposit
77bd2686-60f,30926854,1260.02,2026-05-07 19:40:25.484898,Cooper PLC,CN,withdrawal
0847759b-a67,19f304e4,9507.69,2026-05-23 15:19:25.484898,Elliott Group,RU,withdrawal
decef388-c99,afe92a84,1013.79,2026-05-03 03:58:25.484898,Morgan LLC,US,transfer
dc73f6ff-a68,d22f58e6,8593.0,2026-05-06 15:56:25.484898,Powell PLC,GB,transfer
fc9c062e-10c,4053daaf,7105.95,2026-05-25 02:38:25.484898,"Francis, David and Burnett",GB,transfer
5e66e83e-209,5a774cc4,18268.22,2026-05-14 15:43:25.484898,Williams PLC,GB,deposit
09438090-306,b907470d,151.73,2026-04-28 08:36:25.484898,Heath and Sons,CN,transfer
9e6380c0-f06,9d2b2359,3338.43,2026-05-04 10:28:25.484898,Brown LLC,CN,transfer
97e19b3b-a08,332ff73e,952.87,2026-04-30 07:38:25.484898,"Brown, Sanchez and Aguirre",BR,withdrawal
01133415-916,b4c42f47,13155.34,2026-05-18 05:43:25.484898,"Ortiz, Harris and Ingram",RU,withdrawal
4741d570-878,177fd006,2794.94,2026-05-25 08:04:25.484898,Lloyd-Escobar,US,deposit
ba0f3087-e34,42019ba0,1723.61,2026-05-27 08:50:25.484898,"Brown, Simmons and Bell",BR,withdrawal
a3c04bbf-6d9,8da0e05b,23224.06,2026-05-21 07:24:25.484898,Hall-Hughes,RU,deposit
44aeeaa6-803,4a3389b1,7460.77,2026-05-04 07:31:25.484898,"Hunt, Randolph and Grant",NG,transfer
08dfeccf-f4f,caede886,2691.01,2026-05-27 05:35:25.484898,Jones and Sons,CN,deposit
d91d9f73-39c,08de7659,5415.97,2026-05-26 18:09:25.484898,Hoover Inc,CN,withdrawal
4ca8f11b-8fa,c77b6761,21982.22,2026-05-23 14:56:25.484898,"Sherman, Williams and Thomas",US,transfer
7507155b-0c3,c37a2142,16799.59,2026-05-26 10:50:25.484898,"Hoffman, Flowers and Gibson",RU,deposit
a347376d-c48,90a9f727,14501.74,2026-05-19 21:48:25.484898,"Myers, Barnett and Peterson",BR,deposit
a85d72b0-2b4,ad2a2ae9,8008.06,2026-05-17 03:26:25.484898,"Stone, George and James",BR,withdrawal
0c962a0b-f18,e02ba1d3,21381.06,2026-05-26 18:07:25.484898,Jones and Sons,CN,withdrawal
49bd866d-9e0,f669c8b0,17547.26,2026-05-19 03:48:25.484898,Long-Turner,NG,transfer
